,,,,,
,Record Labels,,,,
,Record Label,Owner,Genre,Based in,Info
,83,G U A U,UKG,Spain,https://en83music.com/
,696,The Orchard,House,UK,https://www.instagram.com/696recs/
,23rdcenturydgtl,Carl Cox,Techno,UK,https://23rdcentury.tech/
,240 KM/H,Adrián Mills,Techno,Germany,https://soundcloud.com/240kmhk
,240 MPH,Adrián Mills,Techno,Germany,https://soundcloud.com/240mphk
,4 To The Floor,Seamus Haji,House,UK,https://soundcloud.com/4_to_the_floor
,"44 Label Group 
(formerly R-Label)",Kobosil,Techno,Germany,https://44labelgroup.com/en-us/pages/music
,88 Butterfly,FOTINOS,Deep,Greece,https://soundcloud.com/88butterfly-ofc
,Afterlife,Tale of Us,Melodic + Progressive,Germany,https://www.after.life/
,AKRONYM,warnung,Techno,Germany,https://www.akronymcollective.com/
,AKTIVV ,"CULT,
Elzer,
DAHVEED",Techno,Germany,https://soundcloud.com/aktivv
,Alaula,NTMTR_,Techno,Germany,https://soundcloud.com/user-86323611
,All Night Long,Kidding Aside,House + Techno,France,https://www.allnightlong.com/
,All We Have Is Now,Will Clarke,House + Techno,UK,https://allwehaveisnow.co.uk/
,Alula Tunes,Lampe,Melodic + Progressive,Germany,http://www.alula-tunes.com/
,ALWARDA,Rōse,Techno,Switzerland,https://soundcloud.com/alwardarecords
,Alzaya ,"Volantis,
Nicodemo",Melodic + Progressive,Italy,https://www.alzaya.com/
,Andhera,Ky Williams,Minimal,USA,https://soundcloud.com/andherarecords
,ANIITIME,ANII,Melodic + Progressive,UK,https://www.instagram.com/aniitime/
,Animarum Black,Patrick Scuro,Techno,Germany,https://soundcloud.com/animarumrec
,Animarum Progressive,Patrick Scuro,Trance,Germany,https://soundcloud.com/animarumrec
,Animarum Recordings,Patrick Scuro,Melodic + Progressive,Germany,https://soundcloud.com/animarumrec
,Anjunabeats,Above & Beyond,Trance,UK,https://anjunabeats.com/
,Anjunadeep,Above & Beyond,Deep,UK,https://anjunadeep.com/eu
,Anjunadeep Explorations,Anjunadeep,Deep,UK,https://soundcloud.com/explorations-label
,Aparenzza Music,"Marzziano,
Javier Ogallar",House,Spain,https://aparenzzamusic.com/
,Apogee,FOLUAL,Techno,UK,https://linktr.ee/apogeemusic
,Arcane,Eli Brown,Techno,UK,https://www.arcanemusic.co.uk/
,Area Verde,Greenjack ,Melodic + Progressive,Spain,https://soundcloud.com/areaverde
,Arkade,Kaskade,House,USA,https://soundcloud.com/arkade
,Armada,"Armin Van Buuren,
Maykel Piron,
David Lewis",House,Netherlands,https://www.armadamusic.com/
,ARTCORE,Indira Paganotto,Techno,Spain,https://indirapaganotto.com/artcore/label/
,Astral Records,"Paul Anthonee,
Tash Movement",Melodic + Progressive,Australia,https://soundcloud.com/astralrecofc
,Asylum Recordings,"Julian Malaver,
ACIDAZE",Techno,Colombia,https://soundcloud.com/asylum-recordings-666
,ATLANT,BOg,Melodic + Progressive,France,https://weareatlant.com/
,ATW Records,"Interplanetary Criminal,
Main Phase",UKG,UK,https://soundcloud.com/atwrec
,Autektone,T78,Techno,Italy,https://www.autektone.com/
,Automatik,Henri Bergmann,House + Techno,UK,https://www.henribergmann.com/label
,Awesome Soundwave,"Carl Cox,
Christopher Coe",Techno,UK,https://www.awesomesoundwave.com/
,Axis Records,Jeff Mills,Techno,USA,https://www.axisrecords.com/
,Azzur Music,"Meloko,
Konvex",Deep,France,https://azzur-music.com/
